annual survey of hours and earnings - resident analysis,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
lacu2023:Salford,-,-,-,-,-,-,-,-,-,-,-,-,47000,11.7,48000,13.1,55000,9.4,54000,6.5,58000,7.9,64000,5.5,62000,11.7,64000,5.9,62000,8,63000,6.1,64000,7,66000,12.5,63000,7.8,64000,6.7,66000,7.2,70000,6.7,70000,6.9,79000,6.1
lacu2023:Stockport,-,-,-,-,-,-,-,-,-,-,-,-,72000,6.5,67000,6.7,71000,9.8,67000,5.9,67000,6.7,67000,5.8,73000,5.3,75000,6.8,73000,5.7,79000,5.5,76000,6.1,81000,12.1,75000,7.1,78000,10.7,69000,9.6,78000,13.1,77000,7.2,80000,7.1
lacu2023:Tameside,-,-,-,-,-,-,-,-,-,-,-,-,51000,8,49000,7.9,53000,6,51000,6.3,51000,7.3,57000,6.4,55000,10.3,54000,6.4,54000,11.5,55000,7.1,56000,8.2,58000,6.4,51000,13.4,51000,8.9,53000,7.9,54000,7.4,58000,7,63000,6.9
lacu2023:Trafford,-,-,-,-,-,-,-,-,-,-,-,-,56000,7.9,55000,6.8,61000,6.1,58000,6.8,55000,6.5,57000,6.4,59000,5.9,62000,9.7,61000,7.6,56000,6.6,61000,6.4,58000,8,55000,7.6,55000,7.4,55000,8.1,61000,7.3,66000,7.7,70000,6.6
lacu2023:Wigan,-,-,-,-,-,-,-,-,-,-,-,-,84000,6.5,71000,7.3,83000,4.9,80000,5.5,80000,6.2,84000,5.8,84000,7.8,80000,5.3,76000,5.5,78000,6.4,79000,5.4,82000,7,77000,6.3,84000,5.8,87000,6.2,86000,11.8,94000,5.5,94000,5.6
lacu2023:Knowsley,-,-,-,-,-,-,-,-,-,-,-,-,28000,10.1,26000,12,33000,7.7,30000,8.1,32000,8,35000,7.5,33000,8.7,32000,8.1,34000,9.8,35000,8,33000,8.3,36000,10.4,29000,10.3,38000,8.5,36000,9.7,42000,14.8,40000,8.3,41000,8
lacu2023:Liverpool,-,-,-,-,-,-,-,-,-,-,-,-,93000,5.6,86000,6.4,97000,5.1,95000,4.6,96000,4.8,102000,5,102000,5.4,106000,5.3,101000,5.2,108000,6.2,107000,5.4,109000,4.7,98000,6.5,117000,5,101000,7.1,125000,4.9,122000,5,128000,4.7
lacu2023:St. Helens,-,-,-,-,-,-,-,-,-,-,-,-,42000,9.3,40000,8.1,42000,12.1,41000,6.9,44000,9.9,43000,6.8,42000,11.9,46000,9.7,46000,9.9,45000,11.9,44000,10.1,45000,7.4,42000,8.5,44000,10.1,43000,8.9,44000,8.4,49000,7.7,54000,7.3
lacu2023:Sefton,-,-,-,-,-,-,-,-,-,-,-,-,66000,10.9,60000,7.2,66000,5.6,60000,6.3,62000,6.2,63000,5.8,62000,6.3,69000,7.5,65000,5.9,66000,9.5,68000,14,70000,6.8,62000,7,66000,6.5,62000,7.3,65000,14.9,62000,7.3,69000,6.4
lacu2023:Wirral,-,-,-,-,-,-,-,-,-,-,-,-,76000,6.3,62000,6.4,76000,5.1,73000,5.3,66000,5.6,74000,7.6,72000,6.2,73000,6.1,72000,6.3,76000,6.2,74000,5.9,76000,5.7,79000,6.3,88000,7.1,79000,6.6,82000,6.2,84000,5.9,85000,5.7
lacu2023:Lancashire,-,-,-,-,-,-,-,-,-,-,-,-,273000,3.4,251000,3.6,280000,3,271000,3.4,272000,3.1,268000,3.1,271000,3.2,283000,3.5,282000,3.7,276000,3.7,288000,3.4,297000,3.5,269000,4,297000,3.6,298000,3.4,281000,3.3,300000,3.7,322000,3
"lacu2023:Kingston upon Hull, City of",-,-,-,-,-,-,-,-,-,-,-,-,57000,7.9,49000,7.2,56000,7.1,56000,5.9,57000,7.9,55000,5.9,57000,6.7,60000,8.2,59000,6.2,62000,6.1,63000,6,65000,9.4,64000,10.2,71000,7.1,67000,12.6,67000,6.5,65000,6.5,63000,6.5
lacu2023:East Riding of Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-,84000,6.2,72000,6,80000,5,80000,6.7,84000,5.2,86000,5.9,82000,5.2,87000,10,89000,5.2,83000,5.4,85000,6.6,89000,6.3,89000,6.4,97000,9.9,88000,6.3,92000,5.9,91000,6.9,97000,5.5
lacu2023:North East Lincolnshire,-,-,-,-,-,-,-,-,-,-,-,-,35000,10.8,32000,12.6,34000,12.8,33000,7.8,32000,11,34000,10.6,34000,10.4,#,#,34000,8.3,34000,8.3,36000,8,35000,8.2,37000,9,37000,8.7,34000,10,#,#,36000,9.1,37000,8.8
lacu2023:North Lincolnshire,-,-,-,-,-,-,-,-,-,-,-,-,38000,10.2,31000,9.2,43000,6.8,39000,8.1,41000,7,39000,7.2,41000,8.2,40000,7.4,38000,9.8,42000,9.7,43000,7.4,41000,7.7,38000,15.9,43000,8.2,42000,8.9,42000,8.4,46000,7.8,46000,7.9
lacu2023:York,-,-,-,-,-,-,-,-,-,-,-,-,47000,8.6,50000,10.5,54000,7.5,51000,7.5,52000,6.4,50000,6.8,48000,6.6,54000,7.6,54000,8.8,51000,6.9,47000,7.2,52000,10,49000,8.1,57000,7.4,55000,8.1,59000,10.1,57000,7.3,53000,7.3
lacu2023:North Yorkshire,-,-,-,-,-,-,-,-,-,-,-,-,130000,6.2,128000,5,138000,4.9,130000,4.4,130000,4.7,132000,4.3,131000,6.7,130000,6.6,134000,4.9,135000,5.6,131000,4.5,137000,4.6,143000,5.6,159000,5.3,158000,6,154000,6.8,143000,4.7,155000,4.3
